id,tweet_content,harassment,IndirectH,PhysicalH,SexualH
9565,also released this video of photos voyager took along its trajectory and my oh my are they ever beautiful,0,0,0,0
6794, Yeah sexting older games until x89 teach dougie x89 x9d bitch wtf ,0,0,0,0
4337, ava There s likely hundreds of stories like this It s vital to bring them forward amp teach them as an integral par ,0,0,0,0
6621,Wonder if there is significance to having Ava amp John on the box The two facing opposite directions too Possible ,0,0,0,0
3289,i m a slut for guacamole an avocadhoe if you will,0,0,0,0
4410,Bitch I ma kill you You don t wanna fuck with me Girls neither you ain t nothing but a slut to me Bitch I ma kill you ,1,0,1,0
2186,Meet Laura Steven screenwriter journalist amp author of The Exact Opposite of OK the hilarious but honest look a ,0,0,0,0
3137,BLOCKBUSTER ALERT The Rock will play a camp counselor determined to save his former partner at all costs in Ava DuVernay animated feature,0,0,0,0
8180,RT Athenafilmfest Women have been trained in our culture and society to ask for what we want instead of taking It s historic amp it s u ,1,1,0,0
8394,RT gaby briannn I was giving my man the silent treatment earlier amp he locks our bedroom door puts on Trey Songz slow motion amp starts s ,0,0,0,0
6507, Loica20 truly would never called names while expressing yourself caring that x89 ,0,0,0,0
8021, JamieClay actually muggy you x89 re singing turns you x89 re booky vocals lm x89 ,0,0,0,0
8593, TrueLaurels Sassy Danny broken hurted t co PgLlPvwA7s ,0,0,0,0
8438, And think DashaFuentesWWE TotalDivas Forgot show guiltypleasure notguilty justpleasure ,0,0,0,0
7773, be my icon sassy brain refuses about threesome ,0,0,0,0
5752, BriannaWu This is what makes me angry about msm Most of the networks won t stand up to him Except MSNBC Let faux news amp Cspan cover it ,0,0,0,0
2938, CharlesMBlow shaunking Ava DuVernay somehow scored a 100 million deal with Warner Bros amp an action movie deal ,0,0,0,0
5352, Min Sassy jjeongucci jaysdimples fckmknj isn x89 t outsells day ,0,0,0,0
3267,people they re always broke chill friends they ve split end x89 t co 6p2GCGh3tw ,0,0,0,0
4990, Can discuss stadium tiaa yousuck jaxsux notimpressed ,0,0,0,0
7920,Imagine being someone who knocks about and feeds people that behead and kill innocent people then come out and ask ,0,0,0,0
5447,oooh i m also a slut for delena love story any content w klaus so should i rewatch vampire diaries or try my luck with originals ,0,0,0,0
9950,every time i go through my social media i end up gettin sad cause all the girls in my feed are so beautiful prop,1,0,1,0
6779, RoseCityAntifa through little race hate proclamation You ve chopped Memes truth x89 t co qauHNDyJWr ,0,0,0,0
9731,can i be like the arm chair quarterback drunk uncle of infosec twitter,0,0,0,0
4927,professor she s sassy showed class homecomi x89 t co jsdkkPHbeM ,0,0,0,0
10093,good morning world its sunday which means relaaaaxing what does today hold for you hopefully everything you want lets go,0,0,0,0
7323, I x89 ll never understand women vehemently Bellas you x89 re cool I x89 ll never understa x89 t co vUH0s64869 ,0,0,0,0
4051, RealityTuner Fuctupmind India twice village stayed there local th x89 t co bmlfTZ3BKX ,0,0,0,0
4002, The teenagers working orchard store SASSY shit ,0,0,0,0
5210,RT nulldrohan I think every girl has experienced this is one way or another and if that doesn t piss you off then you need to wake up Si ,0,0,0,0
9141, chicagobears piece knowitall coach decided young inexperienced team entire week x89 t co NLa7MezA7T ,0,0,0,0
7625,This nigga said the wildest thing thatt ever happened to him in the bedroom was his girl ask for him to kall her a ,1,0,1,0
9755,carmine and lauren are just bitchy toss pots,1,1,0,0
5030, Three years Jasper started campaign shaming journalist i x89 t co oLbJjyEBhH ,0,0,0,0
8864, SarahSpain I m actually feeling pretty fucking good right now ,0,0,0,0
9933,engineering is our new entry for the,0,0,0,0
4471, Wait master chopped screwed it x89 ll OVA ,0,0,0,0
2848,Break up with your girlfriend is the biggest hoe song of 2019 but we stopped slut shaming in 2016 ,0,0,0,0
5451, 17C SCOUPS fxjsjung94 Not devilcheol Or vampirecheol cause your ava looks like one ,0,0,0,0
2528, maybe I like that movie too much but when I m unexpressably angry I begin to talk amp act like Ava maybe it s th ,0,0,0,0
10163,having dinner while watching is my very own msg enhancer that said the girls are on point,0,0,0,0
10037,girls who are like i dont get along with girls i only hang with guys sorry i cant relate to that at all i have a bo,1,1,0,0
9192, lil tortellini every retweet I x89 ll Maggie she x89 s t co QZOqA4AIP8 ,0,0,0,0
2322, FourEcchiTasty Anti Gamergate campaign t co I3Q5Ubgl4x ,0,0,0,0
